id,agent_id,case_group,case_subgroup,instruction,associated_url,allow_url_reading,active,horas_cache_pagina,response_mode,change_action,change_note
021cec4f-1768-4ba5-aae1-97794168a095,c1330a20-c057-4764-8121-6268ca02f280,Hacienda,TRÁMITE · Pago de tributos,Trámite o recurso municipal: Pago de tributos. Consulta la información actualizada en: https://alguazas.tributoslocales.es/300070/AALGUAZAS Extrae solo lo necesario para responder al ciudadano con tono cercano. Termina con una coletilla que incluya este enlace: https://alguazas.tributoslocales.es/300070/AALGUAZAS,https://alguazas.tributoslocales.es/300070/AALGUAZAS,true,true,,ia,fix_url+rewrite_text,Corregido alguazas..tributoslocales; Plantilla TRÁMITE/CONTACTO ia acortada/diferenciada
0242dba7-ff2d-4942-b9bd-1e30374161e4,c1330a20-c057-4764-8121-6268ca02f280,Educación,TRÁMITE · Solicitud uso de aula de estudio (formulario),"Toda la información sobre solicitud uso aula de estudio se publica en esta página del ayuntamiento, que se mantiene actualizada: https://alguazas.es/salas-de-estudio/. Se trata de un formulario o modelo de instancia para rellenar y presentar — no contiene información explicativa que debas leer ni interpretar, así que NO necesitas abrir ni leer el documento en ningún caso. Accede a la página y localiza únicamente el enlace de descarga del documento relacionado con la pregunta del ciudadano — no asumas que siempre se llama igual, puede cambiar de un año a otro. Utiliza siempre un tono cercano y sencillo, fácil de entender para cualquier vecino. IMPORTANTE sobre el enlace que des al ciudadano — esta es una causa frecuente de errores: el enlace de descarga tiene que ser una copia EXACTA, carácter por carácter, del atributo href/URL tal como aparece en el código de la página que acabas de consultar. Nunca lo escribas de memoria, nunca lo deduzcas a partir del título o del nombre del documento, y nunca construyas una URL 'con pinta plausible' aunque te parezca razonable — eso es exactamente lo que produce enlaces rotos que acaban llevando a la página principal del ayuntamiento en vez de al documento. Si no tienes el enlace exacto delante, tal como aparece en la página (no lo recuerdes ni lo infieras), NO lo inventes bajo ningún concepto: usa en su lugar el enlace de esta página general, copiado tal cual: https://alguazas.es/salas-de-estudio/. Al terminar la respuesta, añade una coletilla así: si tienes el enlace exacto y verificado del documento, del tipo ""Puedes descargar el formulario de solicitud uso aula de estudio en este enlace: [enlace exacto copiado de la página].""; si no lo tienes con total seguridad, del tipo ""Para más información sobre solicitud uso aula de estudio, puedes consultarlo en este enlace: https://alguazas.es/salas-de-estudio/.""",https://alguazas.es/salas-de-estudio/,true,true,,ia,unchanged,
030ecdfb-18cc-4a25-89f0-2e3dbdbe8453,c1330a20-c057-4764-8121-6268ca02f280,Normativa,General (carpeta principal),En este enlace tienes toda la información sobre normativa: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBANg==/30007,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBANg==/30007,false,false,,directo,deactivate,2B: desactivar General (carpeta principal); se conservan hijos
03df44c4-52fc-422d-b2f6-422414cde92a,c1330a20-c057-4764-8121-6268ca02f280,Urbanismo,NORMA · ORDENANZA FISCAL REGULADORA DE LA TASA POR PRESTACION DE SERVICIOS URBANISTICAS DE PLANEAMIENTO Y GESTION,"Documento oficial del Ayuntamiento de Alguazas: ORDENANZA FISCAL REGULADORA DE LA TASA POR PRESTACION DE SERVICIOS URBANISTICAS DE PLANEAMIENTO Y GESTION. Descárgalo y léelo desde este enlace exacto (cópialo tal cual, no inventes otra URL): https://alguazas.es/wp-content/uploads/2020/12/20200514_PRESTACION-SERVICIOS-URBANISTICOS.pdf Responde con datos literales del documento (importes, plazos, artículos). Si no queda claro, dilo. Tono cercano. Termina citando el enlace: https://alguazas.es/wp-content/uploads/2020/12/20200514_PRESTACION-SERVICIOS-URBANISTICOS.pdf",https://alguazas.es/wp-content/uploads/2020/12/20200514_PRESTACION-SERVICIOS-URBANISTICOS.pdf,true,true,4320,ia,rewrite_text,Plantilla NORMA ia acortada/diferenciada
06299a7a-7179-4333-8e98-b7aac26995e9,c1330a20-c057-4764-8121-6268ca02f280,Gestión tributaria,OVT - Beneficio IVTM,Puedes solicitar un beneficio del IVTM en este enlace: https://alguazas.tributoslocales.es/300070/AALGUAZAS/nueva-solicitud-pasos?type=SIV,https://alguazas.tributoslocales.es/300070/AALGUAZAS/nueva-solicitud-pasos?type=SIV,false,true,,directo,unchanged,
065860ea-271c-4082-b96c-9690c189fa88,c1330a20-c057-4764-8121-6268ca02f280,Servicios,Código buen gobierno,En este enlace tienes toda la información sobre código buen gobierno: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBANjY=/30007,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBANjY=/30007,false,true,,directo,unchanged,
06d8c147-a82c-4a1e-a9ff-3851056ef301,c1330a20-c057-4764-8121-6268ca02f280,Obras y Servicios,TRÁMITE · Solicitud de corte de vía pública,"Sobre solicitud de corte de vía pública: es un trámite o gestión que el ciudadano debe realizar directamente en el siguiente enlace, que ya es la dirección final y no cambia: https://alguazas.sedelectronica.es/?x=5ExRsTHzt5Na8TIBl3R-Cg. No necesitas acceder a la página ni leer su contenido para responder — comparte directamente este enlace, copiado tal cual, sin modificarlo. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina la respuesta con una frase del tipo: ""Puedes realizar el trámite de solicitud de corte de vía pública directamente en este enlace: https://alguazas.sedelectronica.es/?x=5ExRsTHzt5Na8TIBl3R-Cg.""",https://alguazas.sedelectronica.es/?x=5ExRsTHzt5Na8TIBl3R-Cg,false,true,,ia,unchanged,
079964cd-8f05-46de-bd62-a65c82530772,c1330a20-c057-4764-8121-6268ca02f280,Empleo y Formación,NORMA · OFERTA DE EMPLEO PÚBLICO AÑO 2021,"Documento oficial del Ayuntamiento de Alguazas: OFERTA DE EMPLEO PÚBLICO AÑO 2021. Descárgalo y léelo desde este enlace exacto (cópialo tal cual, no inventes otra URL): https://alguazas.es/wp-content/uploads/2022/01/OEP-2021.pdf Responde con datos literales del documento (importes, plazos, artículos). Si no queda claro, dilo. Tono cercano. Termina citando el enlace: https://alguazas.es/wp-content/uploads/2022/01/OEP-2021.pdf",https://alguazas.es/wp-content/uploads/2022/01/OEP-2021.pdf,true,true,4320,ia,rewrite_text,Plantilla NORMA ia acortada/diferenciada
081fe368-396f-4145-9af0-a474255839e0,c1330a20-c057-4764-8121-6268ca02f280,Bienestar Animal,"Albergue de Protección Animal - teléfono, contacto (perrera, animales abandonados, adopción de animales)",Para contactar con el Albergue de Protección Animal puedes llamar al 661 385 830.,,false,true,,directo,unchanged,
0ae92f25-dde9-486d-9e7a-03fc2526fda8,c1330a20-c057-4764-8121-6268ca02f280,Salud Pública,TRÁMITE · Cita médica (SMS Murcia),Trámite o recurso municipal: Cita médica (SMS Murcia). Consulta la información actualizada en: https://sms.carm.es/cmap/ Extrae solo lo necesario para responder al ciudadano con tono cercano. Termina con una coletilla que incluya este enlace: https://sms.carm.es/cmap/,https://sms.carm.es/cmap/,true,true,,ia,rewrite_text,Plantilla TRÁMITE/CONTACTO ia acortada/diferenciada
0bfb8a03-cbe3-4c32-b67d-e639cd00c40b,c1330a20-c057-4764-8121-6268ca02f280,Juventud,NORMA · PRECIOS PÚBLICOS DE ACTIVIDADES JUVENILES,"Documento oficial del Ayuntamiento de Alguazas: PRECIOS PÚBLICOS DE ACTIVIDADES JUVENILES. Descárgalo y léelo desde este enlace exacto (cópialo tal cual, no inventes otra URL): https://alguazas.es/wp-content/uploads/2022/03/PRECIOS-PUBLICOS-JUVENILES-BORM-14-03-22.pdf Responde con datos literales del documento (importes, plazos, artículos). Si no queda claro, dilo. Tono cercano. Termina citando el enlace: https://alguazas.es/wp-content/uploads/2022/03/PRECIOS-PUBLICOS-JUVENILES-BORM-14-03-22.pdf",https://alguazas.es/wp-content/uploads/2022/03/PRECIOS-PUBLICOS-JUVENILES-BORM-14-03-22.pdf,true,true,4320,ia,rewrite_text,Plantilla NORMA ia acortada/diferenciada
0c47390f-ee09-4b33-9648-dfbb8b2b28c2,c1330a20-c057-4764-8121-6268ca02f280,Comercio,TRÁMITE · Comercios locales (ACE Alguazas),Trámite o recurso municipal: Comercios locales (ACE Alguazas). Consulta la información actualizada en: https://acealguazas.es/#/ Extrae solo lo necesario para responder al ciudadano con tono cercano. Termina con una coletilla que incluya este enlace: https://acealguazas.es/#/,https://acealguazas.es/#/,true,true,,ia,rewrite_text,Plantilla TRÁMITE/CONTACTO ia acortada/diferenciada
0c57f7c8-d443-49b2-9151-7367d5b12902,c1330a20-c057-4764-8121-6268ca02f280,Atención ciudadana,"Cita previa: pedir cita con técnico municipal, informador juvenil, agente de empleo","Para pedir cita previa con un técnico municipal, el informador juvenil o el agente de empleo, entra aquí y en un momento la tienes reservada: https://sede.alguazas.regiondemurcia.es/3webc/gestionCita.do?opcion=0&entidad=30007&tlf=1",https://sede.alguazas.regiondemurcia.es/3webc/gestionCita.do?opcion=0&entidad=30007&tlf=1,false,true,,directo,unchanged,
0c6e445f-5c7a-44d3-9b22-40e8baaa6981,c1330a20-c057-4764-8121-6268ca02f280,Juventud,"Servicio de Información Juvenil - teléfono, contacto (juventud, jóvenes, información juvenil, carnet joven)",Para contactar con el Servicio de Información Juvenil puedes llamar al 675 091 487.,,false,true,,directo,unchanged,
0ce6d7b7-b99e-422b-abca-a7a9e7531194,c1330a20-c057-4764-8121-6268ca02f280,Transparencia,NORMA · NORMAS REGULADORAS TELETRABAJO DEL PERSONAL DEL AYUNTAMIENTO,"Documento oficial del Ayuntamiento de Alguazas: NORMAS REGULADORAS TELETRABAJO DEL PERSONAL DEL AYUNTAMIENTO. Descárgalo y léelo desde este enlace exacto (cópialo tal cual, no inventes otra URL): https://alguazas.es/wp-content/uploads/2020/12/20201126_Certificado_Certificado-pleno_CERTIFICACION-ACUERDO-PLENO-DIA-24-11-2020-NORMAS-REGULADORAS-TELETRABAJO-DEL-PERSONAL-DEL-AYUNTAMIENTO.pdf Responde con datos literales del documento (importes, plazos, artículos). Si no queda claro, dilo. Tono cercano. Termina citando el enlace: https://alguazas.es/wp-content/uploads/2020/12/20201126_Certificado_Certificado-pleno_CERTIFICACION-ACUERDO-PLENO-DIA-24-11-2020-NORMAS-REGULADORAS-TELETRABAJO-DEL-PERSONAL-DEL-AYUNTAMIENTO.pdf",https://alguazas.es/wp-content/uploads/2020/12/20201126_Certificado_Certificado-pleno_CERTIFICACION-ACUERDO-PLENO-DIA-24-11-2020-NORMAS-REGULADORAS-TELETRABAJO-DEL-PERSONAL-DEL-AYUNTAMIENTO.pdf,true,true,4320,ia,rewrite_text,Plantilla NORMA ia acortada/diferenciada
0d13f553-bf32-42a7-9060-3accdd045897,c1330a20-c057-4764-8121-6268ca02f280,Sede electrónica,Licencias y permisos - Licencias de actividad,Puedes solicitar una licencia de actividad en este enlace: https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=28&tipoVentana=&entidad=30007&idioma=1,https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=28&tipoVentana=&entidad=30007&idioma=1,false,true,,directo,unchanged,
0d32ebb3-0fb8-4ef9-9124-bbfcc0f1d7cd,c1330a20-c057-4764-8121-6268ca02f280,Seguridad Ciudadana,Autorización para quema de rastrojos agrícolas,"Sí puedes quemar rastrojos, pero necesitas autorización previa: el titular debe solicitarlo a la CARM (https://sede.carm.es/web) acompañando un informe técnico, con al menos 30 días de antelación a la quema. Una vez obtenida la autorización, debes comunicarlo también al Ayuntamiento para su conocimiento y por si hubiera medidas complementarias.",https://sede.carm.es/web,false,true,,directo,unchanged,
0d67fa58-1eb1-4d8c-b773-f5fbf50719e7,c1330a20-c057-4764-8121-6268ca02f280,Transparencia,NORMA · ACUERDO MARCO SOBRE CONDICIONES DE TRABAJO DEL AYUNTAMIENTO DE ALGUAZAS,"Documento oficial del Ayuntamiento de Alguazas: ACUERDO MARCO SOBRE CONDICIONES DE TRABAJO DEL AYUNTAMIENTO DE ALGUAZAS. Descárgalo y léelo desde este enlace exacto (cópialo tal cual, no inventes otra URL): https://alguazas.es/wp-content/uploads/2021/03/ACUERDO-MARCO-ALGUAZAS.pdf Responde con datos literales del documento (importes, plazos, artículos). Si no queda claro, dilo. Tono cercano. Termina citando el enlace: https://alguazas.es/wp-content/uploads/2021/03/ACUERDO-MARCO-ALGUAZAS.pdf",https://alguazas.es/wp-content/uploads/2021/03/ACUERDO-MARCO-ALGUAZAS.pdf,true,true,4320,ia,rewrite_text,Plantilla NORMA ia acortada/diferenciada
0e1da2bc-c084-439e-96bb-ca2796f0a59c,c1330a20-c057-4764-8121-6268ca02f280,Gestión tributaria,OVT - Alegaciones propuesta de resolución,Puedes presentar alegaciones a una propuesta de resolución en este enlace: https://alguazas.tributoslocales.es/300070/AALGUAZAS/nueva-solicitud-pasos?type=APR,https://alguazas.tributoslocales.es/300070/AALGUAZAS/nueva-solicitud-pasos?type=APR,false,true,,directo,unchanged,
0e53e86a-80bc-4c39-a51d-8fd8b64ef52f,c1330a20-c057-4764-8121-6268ca02f280,Comercio,TRÁMITE · Servicios a empresas del SEF,Trámite o recurso municipal: Servicios a empresas del SEF. Consulta la información actualizada en: http://www.sefcarm.es/web/pagina?IDCONTENIDO=29982&IDTIPO=100&RASTRO=c$m Extrae solo lo necesario para responder al ciudadano con tono cercano. Termina con una coletilla que incluya este enlace: http://www.sefcarm.es/web/pagina?IDCONTENIDO=29982&IDTIPO=100&RASTRO=c$m,http://www.sefcarm.es/web/pagina?IDCONTENIDO=29982&IDTIPO=100&RASTRO=c$m,true,true,,ia,rewrite_text,Plantilla TRÁMITE/CONTACTO ia acortada/diferenciada
0fd7f445-107b-453b-bc12-23af61fa388d,c1330a20-c057-4764-8121-6268ca02f280,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2015,En este enlace tienes toda la información sobre 2015: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgwMg==/30007,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgwMg==/30007,false,false,,directo,unchanged,
