agent_id,case_group,case_subgroup,instruction,associated_url,allow_url_reading,active,horas_cache_pagina,response_mode
c1330a20-c057-4764-8121-6268ca02f280,Atención ciudadana,"CONTACTO · Ayuntamiento (dirección, teléfono, email, horario)","Puedes contactar con el Ayuntamiento de Alguazas llamando al 968 620 022, escribiendo al correo electrónico atencionalciudadano@alguazas.es, o pasándote por Plaza Don Enrique Tierno Galván, 1. Atendemos de lunes a viernes de 8:30 a 14:30h.",tel:+34968620022,False,True,,ia
c1330a20-c057-4764-8121-6268ca02f280,Seguridad Ciudadana,CONTACTO · Policía Local (móvil y fijo),"Puedes contactar con la Policía Local en el teléfono móvil 629 706 497 o en el fijo 968 620 987 (seguridad, emergencias no graves, multas, denuncias).",tel:+34629706497,False,True,,ia
c1330a20-c057-4764-8121-6268ca02f280,Obras y Servicios,CONTACTO · Ecoparque Municipal y recogida de enseres,"El teléfono del Ecoparque Municipal y de la recogida de enseres es el 654 009 879 (reciclaje, punto limpio, residuos, escombros, recogida a domicilio).",tel:+34654009879,False,True,,ia
c1330a20-c057-4764-8121-6268ca02f280,Comercio,CONTACTO · OMIC Oficina del Consumidor (horario y cita),El Ayuntamiento presta el servicio de la OMIC (información al consumidor y reclamaciones de consumo). Atienden los martes de 9:00 a 14:00h en la planta baja del Ayuntamiento. Para pedir cita llama al 654 009 877.,,False,True,,ia
c1330a20-c057-4764-8121-6268ca02f280,Seguridad Ciudadana,TRÁMITE · Denuncia o incidencia de seguridad ciudadana,Puedes notificar una denuncia o incidencia de seguridad ciudadana en este enlace: https://alguazas.es/incidencias-seguridad/,https://alguazas.es/incidencias-seguridad/,False,True,,ia
c1330a20-c057-4764-8121-6268ca02f280,Corporación Municipal,"TRÁMITE · Pleno ordinario (cuándo, YouTube y actas)",Los plenos ordinarios se celebran el último miércoles de cada mes (excepto agosto) a las 20:00h. Puedes verlos presencialmente en el salón de plenos del Ayuntamiento o en directo por YouTube: https://www.youtube.com/@ayuntamientoalguazas7195 (también https://youtube.com/channel/UCQ4yDrgQqCl_1kNTK3Zuc2A). Para consultar vídeos y actas de plenos en la plataforma municipal: https://videoacta.alguazas.es/. No ofrezcas descargas directas de vídeo o PDF al ciudadano; indícale siempre la plataforma o el canal.,https://videoacta.alguazas.es/,False,True,,ia
c1330a20-c057-4764-8121-6268ca02f280,Página principal,"CONTACTO · Redes del ayuntamiento (Facebook, X, WhatsApp, LinkedIn)",Puedes compartir o consultar la página del Ayuntamiento de Alguazas en redes: Facebook https://www.facebook.com/sharer.php?u=https://alguazas.es/ ; X (Twitter) https://twitter.com/share?text=Ayuntamiento%20de%20Alguazas&url=https://alguazas.es/ ; WhatsApp https://api.whatsapp.com/send?text=https://alguazas.es/ ; LinkedIn https://linkedin.com/shareArticle?mini=true&title=Ayuntamiento%20de%20Alguazas&url=https://alguazas.es/ .,https://alguazas.es/,False,True,,ia
c1330a20-c057-4764-8121-6268ca02f280,Empleo y Formación,CONTACTO · Agencia de Desarrollo Local (teléfono),"El teléfono de la Agencia de Desarrollo Local es el 654 009 902 (empleo, formación, orientación laboral, empresas).",,False,True,,ia
c1330a20-c057-4764-8121-6268ca02f280,Página principal,Fuerzas Armadas,Toda la información sobre Fuerzas Armadas la tienes en este enlace: https://www.reclutamiento.defensa.gob.es.,https://www.reclutamiento.defensa.gob.es,False,True,,ia
c1330a20-c057-4764-8121-6268ca02f280,Urbanismo,Agenda Urbana,Puedes consultar toda la información sobre la Agenda Urbana en este enlace: https://alguazas.es/agenda-urbana/.,https://alguazas.es/agenda-urbana/,False,True,,ia
