agent_id,case_group,case_subgroup,instruction,associated_url,allow_url_reading,active,horas_cache_pagina,response_mode
c1330a20-c057-4764-8121-6268ca02f280,Bienestar Animal,Inscripción censo canino,"Toda la información sobre inscripción censo canino se publica en esta página del ayuntamiento, que se mantiene actualizada: https://alguazas.es/concejalia-de-bienestar-animal/. Se trata de un formulario o modelo de instancia para rellenar y presentar — no contiene información explicativa que debas leer ni interpretar, así que NO necesitas abrir ni leer el documento en ningún caso. Accede a la página y localiza únicamente el enlace de descarga del documento relacionado con la pregunta del ciudadano — no asumas que siempre se llama igual, puede cambiar de un año a otro. Utiliza siempre un tono cercano y sencillo, fácil de entender para cualquier vecino. IMPORTANTE sobre el enlace que des al ciudadano — esta es una causa frecuente de errores: el enlace de descarga tiene que ser una copia EXACTA, carácter por carácter, del atributo href/URL tal como aparece en el código de la página que acabas de consultar. Nunca lo escribas de memoria, nunca lo deduzcas a partir del título o del nombre del documento, y nunca construyas una URL 'con pinta plausible' aunque te parezca razonable — eso es exactamente lo que produce enlaces rotos que acaban llevando a la página principal del ayuntamiento en vez de al documento. Si no tienes el enlace exacto delante, tal como aparece en la página (no lo recuerdes ni lo infieras), NO lo inventes bajo ningún concepto: usa en su lugar el enlace de esta página general, copiado tal cual: https://alguazas.es/concejalia-de-bienestar-animal/. Al terminar la respuesta, añade una coletilla así: si tienes el enlace exacto y verificado del documento, del tipo ""Puedes descargar el formulario de inscripción censo canino en este enlace: [enlace exacto copiado de la página].""; si no lo tienes con total seguridad, del tipo ""Para más información sobre inscripción censo canino, puedes consultarlo en este enlace: https://alguazas.es/concejalia-de-bienestar-animal/.""",https://alguazas.es/concejalia-de-bienestar-animal/,True,True,,ia
c1330a20-c057-4764-8121-6268ca02f280,Bienestar Animal,Protectora local ANERPA,"Toda la información sobre protectora local ANERPA está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre protectora local ANERPA, puedes pulsar en este enlace: https://facebook.com/anerpa.org.""",https://facebook.com/anerpa.org,True,True,,ia
c1330a20-c057-4764-8121-6268ca02f280,Bienestar Animal,Voluntarios colonias felinas,"Toda la información sobre voluntarios colonias felinas está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre voluntarios colonias felinas, puedes pulsar en este enlace: https://alguazas.es/voluntarios-colonias-felinas/.""",https://alguazas.es/voluntarios-colonias-felinas/,True,True,,ia
c1330a20-c057-4764-8121-6268ca02f280,Bienestar Animal,Instalaciones caninas,"Toda la información sobre instalaciones caninas está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre instalaciones caninas, puedes pulsar en este enlace: https://alguazas.es/instalaciones-caninas-2/.""",https://alguazas.es/instalaciones-caninas-2/,True,True,,ia
c1330a20-c057-4764-8121-6268ca02f280,Bienestar Animal,Obligaciones tenencia de animales,"En la Ordenanza municipal reguladora de la tenencia, protección y bienestar de los animales de compañía en Alguazas puedes consultar todas normas y prohibiciones en cuanto a la materia. Puedes descargarla aquí.",https://alguazas.es/concejalia-de-bienestar-animal/,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Bienestar Animal,Qué necesito para censar mi perro,"Para censar tu perro únicamente necesitas presentar una fotocopia de tu DNI como propietario y la cartilla sanitaria del animal, junto al modelo de solicitud. No hay que pagar tasas por la inscripción.",https://alguazas.es/concejalia-de-bienestar-animal/,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Bienestar Animal,Animales sueltos en la calle,"La respuesta es no. Los animales deben ir atados con correa en todo momento, salvo que se encuentren dentro de las zonas de esparcimiento animal habilitadas para el recreo canino. Si el animal es potencialmente peligroso, debe llevar también bozal y una correa de máximo dos metros de largo. Los perros potencialmente peligrosos no pueden quedar sueltos en las zonas de esparcimiento animal, y sus propietarios deben llevar encima la documentación del animal en todo momento.

Que un perro se encuentre suelto por la calle es sancionable conforme a la Ordenanza municipal. También lo es como una infracción leve si el animal se ha escapado de su hogar, haciéndose responsables en todo momento sus titulares.",https://alguazas.es/concejalia-de-bienestar-animal/,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Bienestar Animal,Clínicas veterinarias,"Hay dos. En calle Santa Micaela se encuentra el Centro Veterinario Mundo Animal, y en calle Hernán Cortés el Centro Veterinario del Carmen.",https://alguazas.es/concejalia-de-bienestar-animal/,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Bienestar Animal,Animal abandonado,Hazle fotos al animal y llama inmediatamente a Policía Local (968 620 987). Nosotros nos encargamos del resto.,https://alguazas.es/concejalia-de-bienestar-animal/,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Bienestar Animal,Perro perdido,"Si has perdido tu animal, acude a Policía Local y deja constancia de la pérdida facilitando fotografía si es posible. La concejalía y la protectora Anerpa se encargarán de publicar el perro perdido para localizarlo.",https://alguazas.es/concejalia-de-bienestar-animal/,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Bienestar Animal,Dirección General de Derechos de los Animales,Puedes consultar la Dirección General de Derechos de los Animales en este enlace: https://www.facebook.com/AnimalesGob/,https://www.facebook.com/AnimalesGob/,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Comercio,Comercios locales (ACE Alguazas),"Toda la información sobre comercios locales (ACE Alguazas) está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre comercios locales (ACE Alguazas), puedes pulsar en este enlace: https://acealguazas.es/#/.""",https://acealguazas.es/#/,True,True,,ia
c1330a20-c057-4764-8121-6268ca02f280,Comercio,Ayudas y subvenciones (INFO Murcia),"Toda la información sobre ayudas y subvenciones (INFO Murcia) está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre ayudas y subvenciones (INFO Murcia), puedes pulsar en este enlace: https://www.institutofomentomurcia.es/ayudas-y-subvenciones.""",https://www.institutofomentomurcia.es/ayudas-y-subvenciones,True,True,,ia
c1330a20-c057-4764-8121-6268ca02f280,Comercio,Newsletter para empresas,"Sobre newsletter para empresas: es un trámite o gestión que el ciudadano debe realizar directamente en el siguiente enlace, que ya es la dirección final y no cambia: https://forms.gle/XprYEZPGpRbJcjCaA. No necesitas acceder a la página ni leer su contenido para responder — comparte directamente este enlace, copiado tal cual, sin modificarlo. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina la respuesta con una frase del tipo: ""Puedes realizar el trámite de newsletter para empresas directamente en este enlace: https://forms.gle/XprYEZPGpRbJcjCaA.""",https://forms.gle/XprYEZPGpRbJcjCaA,False,True,,ia
