row_id,source_file,row_in_file,case_group,case_subgroup,text
0,concejalias.csv,0,Bienestar Animal,TRÁMITE · Animal encontrado o abandonado (no es el mío),"Concejalía: Bienestar Animal. Subtema: TRÁMITE · Animal encontrado o abandonado (no es el mío). Si has encontrado un animal abandonado o suelto que no es tuyo: hazle fotos, anota la localización y las características, y llama inmediatamente a la Policía Local (móvil 629 706 497 o fijo 968 620 987). Ellos se encargan del resto."
1,concejalias.csv,1,Bienestar Animal,TRÁMITE · He perdido mi perro o mi animal,"Concejalía: Bienestar Animal. Subtema: TRÁMITE · He perdido mi perro o mi animal. Si has perdido TU animal (es tuyo y se te ha escapado o no lo encuentras): acude a Policía Local y deja constancia de la pérdida, facilitando fotografía si es posible (móvil 629 706 497 o fijo 968 620 987). La concejalía y la protectora Anerpa se encargarán de publicar el aviso para localizarlo. Si en cambio has encontrado un animal que no es tuyo, usa el procedimiento de animal encontrado o abandonado."
2,concejalias.csv,2,Comercio,TRÁMITE · Agencia de Desarrollo Local de Alguazas (información y gestiones),"Concejalía: Comercio. Subtema: TRÁMITE · Agencia de Desarrollo Local de Alguazas (información y gestiones). Toda la información sobre agencia de desarrollo local de Alguazas está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre agencia de desarrollo local de Alguazas, puedes pulsar en este enlace: https://www.adlalguazas.blogspot.com."""
3,concejalias.csv,3,Hacienda,TRÁMITE · Oficina municipal de recaudación (gestiones),"Concejalía: Hacienda. Subtema: TRÁMITE · Oficina municipal de recaudación (gestiones). Toda la información sobre oficina municipal de recaudación está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre oficina municipal de recaudación, puedes pulsar en este enlace: https://alguazas.tributoslocales.es/ovt/EXPZ/300070/AALGUAZAS/homenoauth/pag3."""
4,concejalias.csv,4,Hacienda,TRÁMITE · Pago de tributos,"Concejalía: Hacienda. Subtema: TRÁMITE · Pago de tributos. Toda la información sobre pago de tributos está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre pago de tributos, puedes pulsar en este enlace: https://alguazas.tributoslocales.es/300070/AALGUAZAS."""
5,concejalias.csv,5,Hacienda,TRÁMITE · Calendario fiscal,"Concejalía: Hacienda. Subtema: TRÁMITE · Calendario fiscal. Toda la información sobre calendario fiscal está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre calendario fiscal, puedes pulsar en este enlace: https://alguazas.es/agenda/."""
6,concejalias.csv,6,Juventud,TRÁMITE · Garantía Juvenil (información municipal),"Concejalía: Juventud. Subtema: TRÁMITE · Garantía Juvenil (información municipal). Toda la información sobre garantía juvenil está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre garantía juvenil, puedes pulsar en este enlace: https://juventud.alguazas.es/garantiajuvenil/."""
7,concejalias.csv,7,Juventud,TRÁMITE · Inscripción en Garantía Juvenil (SEPE),"Concejalía: Juventud. Subtema: TRÁMITE · Inscripción en Garantía Juvenil (SEPE). Para inscribirte en Garantía Juvenil (SEPE) consulta e inicia el trámite en este enlace oficial: https://www.sepe.es/HomeSepe/Personas/encontrar-trabajo/Garantia-Juvenil.html . También hay información general del SEPE en: https://www.sepe.es/HomeSepe/encontrar-trabajo/Garantia-Juvenil . Toda la información sobre inscripción en garantía juvenil (sepe) está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre inscripción en garantía juvenil (sepe), puedes pulsar en este enlace: https://www.sepe.es/HomeSepe/Personas/encontrar-trabajo/Garantia-Juvenil.html."""
8,concejalias.csv,8,Educación,TRÁMITE · Salas y aulas de estudio (información),Concejalía: Educación. Subtema: TRÁMITE · Salas y aulas de estudio (información). Toda la información sobre salas y aulas de estudio está en https://alguazas.es/salas-de-estudio/ . Accede y consulta el contenido para responder; termina indicando ese enlace.
9,concejalias.csv,9,Educación,TRÁMITE · Solicitud uso de aula de estudio (formulario),"Concejalía: Educación. Subtema: TRÁMITE · Solicitud uso de aula de estudio (formulario). Toda la información sobre solicitud uso aula de estudio se publica en esta página del ayuntamiento, que se mantiene actualizada: https://alguazas.es/salas-de-estudio/. Se trata de un formulario o modelo de instancia para rellenar y presentar — no contiene información explicativa que debas leer ni interpretar, así que NO necesitas abrir ni leer el documento en ningún caso. Accede a la página y localiza únicamente el enlace de descarga del documento relacionado con la pregunta del ciudadano — no asumas que siempre se llama igual, puede cambiar de un año a otro. Utiliza siempre un tono cercano y sencillo, fácil de entender para cualquier vecino. IMPORTANTE sobre el enlace que des al ciudadano — esta es una causa frecuente de errores: el enlace de descarga tiene que ser una copia EXACTA, carácter por carácter, del atributo href/URL tal como aparece en el código de la página que acabas de consultar. Nunca lo escribas de memoria, nunca lo deduzcas a partir del título o del nombre del documento, y nunca construyas una URL 'con pinta plausible' aunque te parezca razonable — eso es exactamente lo que produce enlaces rotos que acaban llevando a la página principal del ayuntamiento en vez de al documento. Si no tienes el enlace exacto delante, tal como aparece en la página (no lo recuerdes ni lo infieras), NO lo inventes bajo ningún concepto: usa en su lugar el enlace de esta página general, copiado tal cual: https://alguazas.es/salas-de-estudio/. Al terminar la respuesta, añade una coletilla así: si tienes el enlace exacto y verificado del documento, del tipo ""Puedes descargar el formulario de solicitud uso aula de estudio en este enlace: [enlace exacto copiado de la página].""; si no lo tienes con total seguridad, del tipo ""Para más información sobre solicitud uso aula de estudio, puedes consultarlo en este enlace: https://alguazas.es/salas-de-estudio/."""
