id_a,id_b,agent_id,group_a,sub_a,group_b,sub_b,mode_a,mode_b,url_a,url_b,instr_a,instr_b,similarity
4c5c274c-1e0f-47c1-b6ea-9636975c83e7,6095851e-7c56-4184-be97-31142d5f22be,c1330a20-c057-4764-8121-6268ca02f280,"Subvenciones, convenios, concursos, certamenes y ayudas",Subvenciones,"Subvenciones, convenios, concursos, certamenes y ayudas",General (carpeta principal),directo,directo,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMzg=/30007,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAOA==/30007,En este enlace tienes toda la información sobre subvenciones: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMzg=/30007,"En este enlace tienes toda la información sobre subvenciones, convenios, concursos, certamenes y ayudas: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAO",0.9863
079964cd-8f05-46de-bd62-a65c82530772,22f04edc-0b33-47b1-b453-9d8c4ef1ecfd,c1330a20-c057-4764-8121-6268ca02f280,Empleo y Formación,NORMA · OFERTA DE EMPLEO PÚBLICO AÑO 2021,Empleo y Formación,NORMA · OFERTA DE EMPLEO PÚBLICO AÑO 2020,ia,ia,https://alguazas.es/wp-content/uploads/2022/01/OEP-2021.pdf,https://alguazas.es/wp-content/uploads/2022/01/OEP-2020.pdf,"Este es un documento oficial (ordenanza, reglamento, plan o similar) del ayuntamiento. Descárgalo y léelo desde este enlace exacto, cópialo tal cual sin modificarlo, nunca inventes ni deduzcas otro: h","Este es un documento oficial (ordenanza, reglamento, plan o similar) del ayuntamiento. Descárgalo y léelo desde este enlace exacto, cópialo tal cual sin modificarlo, nunca inventes ni deduzcas otro: h",0.9796
2c01f3fb-d651-4e86-9e29-5edda4f4d827,526f355e-379f-4a77-9790-dd5e781259e5,c1330a20-c057-4764-8121-6268ca02f280,Servicios,Servicios municipales,Servicios,General (carpeta principal),directo,directo,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBANjA=/30007,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBANzE=/30007,En este enlace tienes toda la información sobre servicios municipales: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBANjA=/30007,En este enlace tienes toda la información sobre servicios: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBANzE=/30007,0.9750
64035854-6535-41dd-a44a-f967d42be357,9a462110-6c76-4c83-9546-f4147fb64d9d,c1330a20-c057-4764-8121-6268ca02f280,Sede electrónica,Información y atención ciudadana - Cita previa,Sede electrónica,Sede - Cita previa presencial,directo,directo,https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=9&tipoVentana=&entidad=30007&idioma=1,https://sede.alguazas.regiondemurcia.es/3webc/gestionCita.do?opcion=0&entidad=30007&tlf=1,Puedes pedir cita previa en este enlace: https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=9&tipoVentana=&entidad=30007&idioma=1,Puedes pedir cita previa presencial en este enlace: https://sede.alguazas.regiondemurcia.es/3webc/gestionCita.do?opcion=0&entidad=30007&tlf=1,0.9731
6095851e-7c56-4184-be97-31142d5f22be,9939f153-84af-470c-a2fa-1771f5fda304,c1330a20-c057-4764-8121-6268ca02f280,"Subvenciones, convenios, concursos, certamenes y ayudas",General (carpeta principal),"Subvenciones, convenios, concursos, certamenes y ayudas",Convenios,directo,directo,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAOA==/30007,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMzc=/30007,"En este enlace tienes toda la información sobre subvenciones, convenios, concursos, certamenes y ayudas: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAO",En este enlace tienes toda la información sobre convenios: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMzc=/30007,0.9729
dd367885-23fb-441e-af19-0def96115ae9,f6c39fb0-7f5c-4c87-88a1-1be6ca4e7259,c1330a20-c057-4764-8121-6268ca02f280,Sede electrónica,Sede - Quejas y sugerencias (acceso directo),Sede electrónica,Información y atención ciudadana - Quejas y sugerencias,directo,directo,https://sede.alguazas.regiondemurcia.es/web/inicioWebcCert.do?opcion=ssl&entidad=30007&redirige=d2ViL2ZpY2hhQXN1bnRvLmRvP29wY2lvbj0wJmFzYXNfaWRlX2FzdT0yMTE1JnJ1dGE9L3dlYi9hc3VudG9zTWFzVXN1YWxlcy5kbz9vcGNpb249MCFwZXJpb2RvPTA=,https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=12&tipoVentana=&entidad=30007&idioma=1,Puedes presentar una queja o sugerencia (acceso directo) en este enlace: https://sede.alguazas.regiondemurcia.es/web/inicioWebcCert.do?opcion=ssl&entidad=30007&redirige=d2ViL2ZpY2hhQXN1bnRvLmRvP29wY2l,Puedes presentar una queja o sugerencia en este enlace: https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=12&tipoVentana=&entidad=30007&idioma=1,0.9724
8cae4cac-d570-4c93-9efa-576f576afe2b,e0818cfd-e649-4ba5-a23b-b280fc8747a6,c1330a20-c057-4764-8121-6268ca02f280,Presupuestos participativos,PRESUPUESTOS PARTICIPATIVOS 2022,Presupuestos participativos,PRESUPUESTOS PARTICIPATIVOS 2021,directo,directo,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTc0/30007,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTcz/30007,En este enlace tienes toda la información sobre presupuestos participativos 2022: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTc0/30007,En este enlace tienes toda la información sobre presupuestos participativos 2021: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTcz/30007,0.9716
561ca8a4-67df-4300-b6e6-5c8c4cc9afa5,d7977d69-1f46-40b2-bffc-76e77595b320,c1330a20-c057-4764-8121-6268ca02f280,Juventud,TRÁMITE · Web Juventud Alguazas,Juventud,TRÁMITE · InformaJoven,ia,ia,http://juventud.alguazas.es/,http://juventud.alguazas.es/?page_id=6368,Toda la información sobre web juventud alguazas está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda el,Toda la información sobre informajoven está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la,0.9702
4c5c274c-1e0f-47c1-b6ea-9636975c83e7,9939f153-84af-470c-a2fa-1771f5fda304,c1330a20-c057-4764-8121-6268ca02f280,"Subvenciones, convenios, concursos, certamenes y ayudas",Subvenciones,"Subvenciones, convenios, concursos, certamenes y ayudas",Convenios,directo,directo,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMzg=/30007,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMzc=/30007,En este enlace tienes toda la información sobre subvenciones: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMzg=/30007,En este enlace tienes toda la información sobre convenios: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMzc=/30007,0.9700
030ecdfb-18cc-4a25-89f0-2e3dbdbe8453,46288080-3632-4c25-b479-63487521c557,c1330a20-c057-4764-8121-6268ca02f280,Normativa,General (carpeta principal),Normativa,Ordenanzas y reglamentos,directo,directo,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBANg==/30007,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMzA=/30007,En este enlace tienes toda la información sobre normativa: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBANg==/30007,En este enlace tienes toda la información sobre ordenanzas y reglamentos: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMzA=/30007,0.9689
