agent_id,case_group,case_subgroup,instruction,associated_url,allow_url_reading,active,horas_cache_pagina,response_mode
c1330a20-c057-4764-8121-6268ca02f280,Juventud,Informajoven - portal de información juvenil,"Informajoven es el portal de información para jóvenes de Alguazas, con recursos, programas y ayudas para la juventud del municipio. Puedes consultarlo aquí: http://www.juventud.alguazas.es/",http://www.juventud.alguazas.es/,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Comercio,Espacio del Emprendedor - coworking y apoyo a emprendedores,"El Espacio del Emprendedor es un espacio de coworking municipal para emprendedores, situado en Calle Dos de Mayo, 28, Alguazas. Para poder usarlo necesitas solicitar una tarjeta de acceso rellenando este formulario: https://alguazas.es/wp-content/uploads/2025/03/SOLICITUD-VIVERO-COMERCIAL.doc. y presentarlo en el Ayuntamiento o por registro electrónico. Si tienes dudas, puedes contactar al 654 009 902 o escribir a adl@alguazas.es.",https://alguazas.es/espacio-del-emprendedor/,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Atención ciudadana,Cita previa general con servicios municipales,Puedes pedir cita previa con los servicios municipales del Ayuntamiento de Alguazas aquí: https://sede.alguazas.regiondemurcia.es/3webc/gestionCita.do?opcion=0&entidad=30007&tlf=1,https://sede.alguazas.regiondemurcia.es/3webc/gestionCita.do?opcion=0&entidad=30007&tlf=1,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Deportes,Reservas de instalaciones deportivas online,Puedes reservar pistas e instalaciones deportivas municipales online aquí: http://alguazas.reservae.es/,http://alguazas.reservae.es/,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Hacienda,Facturación electrónica a proveedores (FACe),"Si eres proveedor del Ayuntamiento de Alguazas, puedes presentar tu factura electrónica a través de FACe, el punto general de entrada de facturas electrónicas de la Administración: https://face.gob.es/es",https://face.gob.es/es,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Seguridad Ciudadana,Denuncia o incidencia de seguridad ciudadana,"Puedes notificar una denuncia o incidencia de seguridad ciudadana rellenando el formulario online aquí: https://alguazas.es/incidencias-seguridad/. También puedes hacerlo desde la app municipal Alguazas Conect@. Si lo prefieres, puedes llamar al Ayuntamiento al 968 62 00 22 (de 8:30 a 14:30h) o escribir a info@alguazas.es.",https://alguazas.es/incidencias-seguridad/,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Página principal,Fuerzas Armadas - información y reclutamiento,"Si te interesa la información sobre reclutamiento y alistamiento en las Fuerzas Armadas españolas, puedes consultarla en la web oficial de reclutamiento del Ministerio de Defensa: https://www.reclutamiento.defensa.gob.es",https://www.reclutamiento.defensa.gob.es,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Atención ciudadana,App municipal Alguazas Conect@ (Android e iOS),"Alguazas Conect@ es la app oficial del Ayuntamiento de Alguazas: te permite recibir notificaciones de noticias y eventos, reportar incidencias, pedir cita previa y hacer trámites municipales, entre otras cosas. Descárgala para Android en Google Play: https://play.google.com/store/apps/details?id=com.appalguazasayto.appmiciudad&pcampaignid=web_share, y para iPhone en la App Store: https://apps.apple.com/us/app/ayuntamiento-de-alguazas/id1553814960?at=&ign-mpt=uo%3D4",https://alguazas.es/alguazas-conect-la-app-del-ayuntamiento-de-alguazas/,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Empleo y Formación,Renovación de la demanda de empleo (SEF - Región de Murcia),Puedes renovar tu demanda de empleo online a través del Servicio de Empleo y Formación de la Región de Murcia (SEF) aquí: https://sefapps.carm.es/sefApps/faces/demanda/renovacion.xhtml,https://sefapps.carm.es/sefApps/faces/demanda/renovacion.xhtml,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Salud Pública,Cita médica online (Servicio Murciano de Salud),Puedes pedir cita médica online a través del Servicio Murciano de Salud aquí: https://sms.carm.es/cmap/,https://sms.carm.es/cmap/,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Transparencia,Alguazas en cifras (datos y estadísticas municipales - CREM),"Puedes consultar los datos y estadísticas oficiales del municipio de Alguazas (población, economía y otros indicadores) en el Centro Regional de Estadística de Murcia aquí: https://econet.carm.es/web/crem/inicio/-/crem/sicrem/PU_AlguazasCifras/sec0.html",https://econet.carm.es/web/crem/inicio/-/crem/sicrem/PU_AlguazasCifras/sec0.html,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Obras y Servicios,Horario y estado del Ecoparque Municipal,"Cuando el ciudadano pregunte por el horario o el estado del Ecoparque Municipal, entra en la página principal del ayuntamiento (https://alguazas.es/) y busca la sección de preguntas y respuestas donde se explica el estado actual del Ecoparque (puede estar cerrado por obras, con alternativas de recogida, o ya reabierto con su horario habitual). Responde con la información tal como aparezca en ese momento en la web, sin dar por hecho que sigue cerrado ni inventar un horario si no lo hay. Si no encuentras esa sección o no puedes leer la página, dilo explícitamente en vez de suponer el estado del Ecoparque.",https://alguazas.es/,True,True,,ia
c1330a20-c057-4764-8121-6268ca02f280,Obras y Servicios,Solares y parcelas con maleza (denuncia y limpieza),"¿Conoces un solar lleno de maleza? Puedes avisarnos presentando una instancia —en el Registro del Ayuntamiento o por la Sede Electrónica— contando dónde está y qué ocurre. A partir de ahí, pedimos al propietario que lo limpie y, si no lo hace, nos encargamos nosotros de limpiarlo de forma subsidiaria.",https://alguazas.es/,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Bienestar Animal,Animal perdido o encontrado en la calle,"Si encuentras un animal perdido, contacta con la Policía Local indicando la localización y las características del animal, y si puedes, envía fotografías. Puedes llamar a la Policía Local al 968 620 987.",https://alguazas.es/,False,True,,directo
