agent_id,case_group,case_subgroup,instruction,associated_url,allow_url_reading,active,horas_cache_pagina,response_mode
c1330a20-c057-4764-8121-6268ca02f280,Atención ciudadana,Teléfono Ayuntamiento,Puedes contactar con el Ayuntamiento de Alguazas llamando al 968 62 00 22.,tel:+34968620022,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Obras y Servicios,Teléfono recogida de enseres,Para la recogida de enseres puedes llamar al 654 009 879.,tel:+34654009879,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Seguridad Ciudadana,Teléfono Policía Local,Puedes contactar con la Policía Local llamando al 629 706 497.,tel:+34629706497,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Gestión tributaria,Teléfono Recaudación,Puedes contactar con la Oficina de Recaudación llamando al 968 38 82 64.,tel:+34968388264,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Página principal,Fuerzas Armadas,Toda la información sobre Fuerzas Armadas la tienes en este enlace: https://www.reclutamiento.defensa.gob.es.,https://www.reclutamiento.defensa.gob.es,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Seguridad Ciudadana,Denuncia o incidencia de seguridad ciudadana,Puedes notificar una denuncia o incidencia de seguridad ciudadana en este enlace: https://alguazas.es/incidencias-seguridad/.,https://alguazas.es/incidencias-seguridad/,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Urbanismo,Agenda Urbana,Puedes consultar toda la información sobre la Agenda Urbana en este enlace: https://alguazas.es/agenda-urbana/.,https://alguazas.es/agenda-urbana/,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Cultura y Turismo,Vídeo Visita Alguazas,Aquí tienes el vídeo de Visita Alguazas: https://alguazas.es/wp-content/uploads/2025/05/Video-Turisitco-Alguazas-2023-4K-v2.mp4.,https://alguazas.es/wp-content/uploads/2025/05/Video-Turisitco-Alguazas-2023-4K-v2.mp4,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Corporación Municipal,Plenos municipales (YouTube),Puedes ver los plenos municipales en el canal de YouTube del ayuntamiento: https://youtube.com/channel/UCQ4yDrgQqCl_1kNTK3Zuc2A.,https://youtube.com/channel/UCQ4yDrgQqCl_1kNTK3Zuc2A,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Atención ciudadana,APP municipal Alguazas Conect@,Toda la información sobre la app municipal Alguazas Conect@ la tienes en este enlace: https://alguazas.es/alguazas-conect-la-app-del-ayuntamiento-de-alguazas/.,https://alguazas.es/alguazas-conect-la-app-del-ayuntamiento-de-alguazas/,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Empleo y Formación,Renovación demanda de desempleo,Puedes renovar la demanda de desempleo directamente en este enlace: https://sefapps.carm.es/sefApps/faces/demanda/renovacion.xhtml.,https://sefapps.carm.es/sefApps/faces/demanda/renovacion.xhtml,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Obras y Servicios,Horario del Ecoparque,"Si el ciudadano pregunta por el horario o el estado del Ecoparque, accede a la página indicada y consulta su contenido para dar la información actualizada: si sigue cerrado por obras, desde cuándo está previsto reabrir (si la página lo indica) y cuál es el punto alternativo para dejar enseres o el teléfono para que se los recojan en casa. No des por hecho que sigue cerrado si la página ya no lo indica así: las obras son temporales, así que confirma siempre el estado actual en la página en vez de responder de memoria. Si la página no aclara el estado con seguridad, dilo explícitamente en vez de inventarlo. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano.",https://alguazas.es/,TRUE,True,,ia
c1330a20-c057-4764-8121-6268ca02f280,Obras y Servicios,Solar con maleza,"Puedes presentar una instancia comunicando la situación de un solar con maleza; el Ayuntamiento abrirá un expediente para instar a su propietario a limpiarlo o, si no lo hace, lo ejecutará el propio consistorio, conforme a la Ordenanza Municipal.",https://alguazas.es/,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Bienestar Animal,Animal perdido o abandonado,"Llama a la Policía Local e indícales la localización y las características del animal, a ser posible con fotografías; ellos se encargan del resto. El teléfono de la Policía Local es el 629 70 64 97.",https://alguazas.es/,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Obras y Servicios,Horario cementerio municipal,"El cementerio municipal está abierto los 365 días del año, de 8:00 a 18:00h en horario de invierno y de 8:00 a 20:00h en horario de verano.",https://alguazas.es/,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Corporación Municipal,Pleno ordinario cuándo y dónde verlo,Los plenos ordinarios se celebran el último miércoles de cada mes (excepto agosto) a las 20:00h. Puedes verlos presencialmente en el salón de plenos del Ayuntamiento o en directo por el canal de YouTube: https://www.youtube.com/@ayuntamientoalguazas7195.,https://alguazas.es/,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Obras y Servicios,Aparcar en el propio vado,En Alguazas existe una tasa especial de 56 euros al año para reservar tu propia zona de vado como aparcamiento exclusivo.,https://alguazas.es/,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Seguridad Ciudadana,Quemar rastrojos,"Sí, puedes quemar rastrojos, pero antes debes solicitarlo a la CARM (https://sede.carm.es/web) junto con un informe técnico, con al menos 30 días de antelación a la quema. Una vez obtenida la autorización, debes comunicarlo al Ayuntamiento.",https://alguazas.es/,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Comercio,Oficina del Consumidor (OMIC),"Sí, el Ayuntamiento presta el servicio de la OMIC. Puedes acudir los martes de 9:00 a 14:00h en la planta baja del Ayuntamiento.",https://alguazas.es/,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Atención ciudadana,Descargar APP Ayuntamiento (iOS),Puedes descargar la app del Ayuntamiento de Alguazas para iOS en este enlace: https://apps.apple.com/us/app/ayuntamiento-de-alguazas/id1553814960.,https://apps.apple.com/us/app/ayuntamiento-de-alguazas/id1553814960,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Página principal,Compartir en Facebook,Puedes consultar la página del ayuntamiento en Facebook a través de este enlace: https://www.facebook.com/sharer.php?u=https://alguazas.es/.,https://www.facebook.com/sharer.php?u=https://alguazas.es/,False,True,,directo
